symbol,date,open,high,low,close,volume,SMA,EMA,MACD,RSI,BBANDS Upper,BBANDS Lower,ATR,VWAP
AAPL,2024-06-18,217.59,218.63,213.0,214.29,79943254,198.3011,200.4975,,71.8536,217.9555,178.6467,4.4016,
AMZN,2024-06-18,183.735,184.29,181.43,182.81,36659157,,,,,,,,
GOOGL,2024-06-18,177.14,177.385,174.1042,175.09,21869857,174.9819,174.2733,,56.8698,178.3426,171.6213,3.3807,
MSFT,2024-06-18,449.705,450.14,444.89,446.34,17112504,428.6589,430.0439,,65.6873,448.9227,408.3951,7.1423,
TSLA,2024-06-18,186.56,187.2,182.37,184.86,68982265,178.275,178.2676,,55.005,186.6767,169.8733,7.7143,
AAPL,2024-06-20,213.93,214.24,208.85,209.68,86172451,199.1666,201.3491,,65.6269,219.1789,179.1543,4.4532,
AMZN,2024-06-20,182.91,186.51,182.72,186.1,44726779,,,,,,,,
GOOGL,2024-06-20,175.37,177.29,174.99,176.3,20160085,174.9147,174.4438,,58.4299,178.129,171.7003,3.3265,
MSFT,2024-06-20,446.3,446.53,441.27,445.7,19877378,429.4904,431.4595,,65.0905,450.9527,408.0281,7.0477,
TSLA,2024-06-20,184.68,185.21,179.66,181.57,55893139,178.0235,178.5821,,52.8008,185.6816,170.3654,7.6061,
AAPL,2024-06-21,210.39,211.89,207.11,207.49,246421353,199.9952,201.9113,,62.9011,219.9054,180.0849,4.4693,
AMZN,2024-06-21,187.8,189.275,185.86,189.08,72931754,,,,,,,,
GOOGL,2024-06-21,177.0,180.85,176.61,179.63,58582743,175.087,174.9147,,62.3726,178.8294,171.3446,3.3873,
MSFT,2024-06-21,447.38,450.58,446.51,449.78,34486172,430.4517,433.1281,,67.0966,453.5361,407.3673,6.9389,
TSLA,2024-06-21,182.3,183.95,180.69,183.01,63029482,178.1685,179.0038,,53.6564,186.0846,170.2524,7.3888,
AAPL,2024-06-24,207.72,212.7,206.59,208.14,80727006,201.0569,202.4817,,63.3763,220.263,181.8508,4.551,
AMZN,2024-06-24,189.33,191.0,185.33,185.57,50610379,,,,,,,,
GOOGL,2024-06-24,180.16,180.89,178.67,179.22,18298012,175.38,175.3018,,61.6152,179.3697,171.3903,3.3288,
MSFT,2024-06-24,449.8,452.75,446.41,447.67,15913719,431.4834,434.4372,,65.0613,455.5463,407.4205,6.9084,
TSLA,2024-06-24,184.97,188.8,182.55,182.58,61992070,178.6105,179.3444,,53.3524,186.4751,170.7459,7.3319,
AAPL,2024-06-25,209.15,211.38,208.61,209.07,56713868,202.0103,203.0863,,64.0695,220.7668,183.2538,4.4852,
AMZN,2024-06-25,186.81,188.84,185.42,186.34,45898475,,,,,,,,
GOOGL,2024-06-25,179.62,184.29,179.42,184.03,23235589,175.8414,176.1095,,66.6207,181.2314,170.4514,3.4155,
MSFT,2024-06-25,448.25,451.42,446.75,450.95,16747529,432.521,435.9335,,66.7135,457.8887,407.1533,6.7961,
TSLA,2024-06-25,184.4,187.97,182.01,187.35,63678265,179.016,180.1068,,56.247,187.7562,170.2758,7.2633,
AAPL,2024-06-26,211.5,214.86,210.64,213.25,66213186,203.172,204.031,,67.0227,221.6282,184.7158,4.5502,
AMZN,2024-06-26,186.92,194.8,186.26,193.61,65103893,,,,,,,,
GOOGL,2024-06-26,182.63,184.51,182.48,183.88,19838972,176.2249,176.8261,,66.3367,182.5969,169.8529,3.3461,
